Author,Recipient,Description,Date,Type of document, Place of Repository,Repository,Call Number,Notes, Language,,,,,,,,,,,,,
"Kircher, Athanasius"," Peiresc, Nicholas Claude Fabri de", Letter to Peiresc, 3 December 1636,Letter, Paris, Bibliothèque Nationale,BN FF 9538 f. 236r-238v ," Notes: Autograph,  Latin & Arabic.","Latin,Arabic",,,,,,,,,,,,,
"Kircher, Athanasius"," Peiresc, Nicholas Claude Fabri de", Letter to Peiresc, 22 December 1636,Letter, Paris, Bibliothèque Nationale,BN FF 9538 f.239rv ," Notes: Latin, Autograph",Latin,,,,,,,,,,,,,
"Kircher, Athanasius"," Peiresc, Nicholas Claude Fabri de", Letter to Peiresc, 7 January 1637,Letter, Paris, Bibliothèque Nationale,BN FF 9538 f.240rv," Notes: Latin, Autograph",Latin,,,,,,,,,,,,,
"Kircher, Athanasius and Scheiner, Christoph"," Peiresc, Nicholas Claude Fabri de",Letter to Peiresc, 1 December 1633,Letter, Paris, Bibliothèque Nationale,BN FF 9538 f.234r-v, Notes: Consulted 23/6/1995. Microfilm (illegible): 5016,,,,,,,,,,,,,,
"Kircher, Athanasius"," Peiresc, Nicholas Claude Fabri de", Letter to Pereisc, 9 August 1633,Letter, Paris, Bibliothèque Nationale,BN FF 9538 f. 227r-228v, Notes: Consulted BN 22/6/1995 (microfilm),,,,,,,,,,,,,,
"Maurus, Petrus","Kircher, Athanasius", Letter to Kircher,,Printed copy,,,"Published in Athanasius Kircher Magnes,  Rome: Ludovico Grignani 1641, pp.502-503."," Notes: Copy used BAV Barberini M.III.33. No corresponding letter appears to be in APUG. Published in Athanasius Kircher Magnes,  Rome: Ludovico Grignani 1641, pp.502-503.",,,,,,,,,,,,,,
"Gassendi, Pierre","Kircher, Athanasius", Letter to Kircher, 2 August 1633,Printed copy,,,"Published in Gassendi, Petri Gassendi Diniensis  Ecclesiae Praepositi  et in Academia Parisiensi Matheseos  Regii Professoris EPISTOLAE  Lugduni: Sumptibus Laurentii Anisson  1658. Tom. 6, p. 58.",,,,,,,,,,,,,,,
"Gassendi, Pierre","Kircher, Athanasius", Letter to Kircher, 5 July 1640,Printed copy,,,"Published in Gassendi, Petri Gassendi Diniensis  Ecclesiae Praepositi  et in Academia Parisiensi Matheseos  Regii Professoris EPISTOLAE  Lugduni: Sumptibus Laurentii Anisson  1658. Tom. 6, pp.98-99."," Notes: An excerpt of this letter was previously published in Athanasius Kircher Magnes,  Rome: Ludovico Grignani 1641, pp. 481-3. The original ms. Seems to have been lost.",,,,,,,,,,,,,,
"Kircher, Athanasius"," Rapaccioli, Francesco Angelo", Letter to Rapaccioli, n.d.,Printed copy,,,"Published in: Athanasius Kircher, Oedipus Aegyptiacus, 3 Tom. (in 4 vols.),  Rome: Ex Typographia Vitalis Mascardi,  1652-1654,  Tomus III (1654), p. 367."," Notes: Dedicatory letter for Syntagma XI. Obelisci Rasi qui sunt Exquilinus et Vaticanus., Published in: Athanasius Kircher, Oedipus Aegyptiacus, 3 Tom. (in 4 vols.),  Rome: Ex Typographia Vitalis Mascardi,  1652-1654,  Tomus III (1654), p. 367.",,,,,,,,,,,,,,
"Kircher, Athanasius"," Redi, Francesco", Letter to Redi, 27 October 1668,Letter, Florence, Biblioteca Medicea Laurentiana,Laur. Redi 224 f. 215," Notes: Cit. Fletcher, AK und…, p. 155",,,,,,,,,,,,,,
"Kircher, Athanasius"," Redi, Francesco", Letter to Redi, 12 December 1671?,Letter, Florence, Biblioteca Medicea Laurentiana,Laur. Redi 224 f. 216," Notes: Cit. Fletcher, AK und…, p. 155. Check date",,,,,,,,,,,,,,
"Kircher, Athanasius"," Redi, Francesco", Letter to Redi, 29 June 1675?,Letter, Florence, Biblioteca Medicea Laurentiana,Laur. Redi 203 f. 289," Notes: Cit. Fletcher, AK und…, p. 155. Check date.",,,,,,,,,,,,,,
"Kircher, Athanasius"," Rhodius, Johann", Letter to Rhodius, 16 June 1642,Printed copy,,," Published in T. Bartholinus,  De armillis veterum schedion. Accessit O. Wormii de Aureo Cornu Danico ad Licetum responsio, amsterdam 1676 II 29-31."," Notes: From Fletcher, AK und…, p. 159",,,,,,,,,,,,,,
"Kircher, Athanasius"," Rhodius, Johann", Letter to Rhodius, 27 August 1650,Printed copy,,," Published in Fortuno Liceti,  De lucernis antiquorum reconditis libri quatuor, Utini 1652 VI. 1252-1254."," Notes: From Fletcher, AK und…, p. 159",,,,,,,,,,,,,,
"Kircher, Athanasius"," Sachs von Löwenheim, Philipp Jakob", Letter to Sachs von Löwenheim, 6 February 1672,Printed copy,,," Published in J.D. Major,  Memoria Sachsiana, Leipzig 1679, pp. 39-40."," Notes: From Fletcher, AK und…, p. 159",,,,,,,,,,,,,,
"Kircher, Athanasius"," Saint-Andiol, Gaspard de Varadier de", Letter to Saint-Andiol, 9 November 1676,Printed copy,,," Published in G. de Varadier de Saint-Andiol, Juvenilia, Arles 1679, pp. 349-350."," Notes: From Fletcher, AK und…, p. 159",,,,,,,,,,,,,,
"Kircher, Athanasius"," Saint-Andiol, Gaspard de Varadier de", Letter to Saint-Andiol, 7 December 1676,Printed copy,,," Published in G. de Varadier de Saint-Andiol, Juvenilia, Arles 1679, pp. 351-353.."," Notes: From Fletcher, AK und…, p. 159",,,,,,,,,,,,,,
"Kircher, Athanasius"," Saint-Andiol, Gaspard de Varadier de", Letter to Saint-Andiol, undated (after February 1677),Printed copy,,," Published in G. de Varadier de Saint-Andiol, Juvenilia, Arles 1679,  pp. 354-355.."," Notes: From Fletcher, AK und…, p. 159",,,,,,,,,,,,,,
"Kircher, Athanasius"," Schönborn, Johann Philipp von", Letter to Schönborn, n.d.,Printed copy,,," Published in: Athanasius Kircher, Oedipus Aegyptiacus, 3 Tom. (in 4 vols.),  Rome: Ex Typographia Vitalis Mascardi,  1652-1654,  Tomus II Pars Altera (1653), p. 345"," Notes: Dedicatory letter for Classis IX. Iatrica sive Medicina Hieroglyphica., Published in: Athanasius Kircher, Oedipus Aegyptiacus, 3 Tom. (in 4 vols.),  Rome: Ex Typographia Vitalis Mascardi,  1652-1654,  Tomus II Pars Altera (1653), p. 345",,,,,,,,,,,,,,
"Kircher, Athanasius"," Schenck, Joseph Theodor", Letter to Schenck, undated (c. 1668),Printed copy,,," Published in J.F. Heckel, Manipulus primus epistolarum singularium, Plauen 1695, pp. 115-116."," Notes: From Fletcher, AK und…, p. 159",,,,,,,,,,,,,,
"Kircher, Athanasius"," Schott, Gaspar", Letter to Schott, 22 March 1654,Printed copy,,," Published in Schott,  Gaspar. Mechanica hydraulico-pneumatica.. Würzburg; 1657,  pp. 312-313.",,,,,,,,,,,,,,,
"Kircher, Athanasius"," Schott, Gaspar", Letter to Schott, 26 February 1656,Printed copy,,," Published in Schott,  Gaspar. Mechanica hydraulico-pneumatica.. Würzburg; 1657,  pp. 452-3.",,,,,,,,,,,,,,,
"Kircher, Athanasius"," Schott, Gaspar", Letter to Schott, 25 March 1656,Printed copy,,," Published in Schott, Pantometrum Kircherianum, Würzburg 1660, preface.",,,,,,,,,,,,,,,
"Kircher, Athanasius"," Schott, Gaspar", Letter to Schott, 16 December 1662,Printed copy,,," Published in Schott,  Technica curiosa sive mirabilia artis, Nuremberg 1664, p. 481.",,,,,,,,,,,,,,,
"Kircher, Athanasius"," Schott, Gaspar", Letter to Schott, 7 January 1665,Printed copy,,," Published in S. Lubienietzki,  Theatrum cometicum, Amsterdam 1668, 1666, I 764."," Notes: From Fletcher, AK und…, p. 159",,,,,,,,,,,,,,
"Kircher, Athanasius"," Schott, Gaspar", Letter to Schott, 31 January 1664,Printed copy,,," Published in S. Lubienietzki,  Theatrum cometicum, Amsterdam 1668, 1666, I 765"," Notes: From Fletcher, AK und…, p. 159",,,,,,,,,,,,,,
"Kircher, Athanasius"," Schott, Gaspar", Letter to Schott, 21 February 1665,Printed copy,,," Published in S. Lubienietzki,  Theatrum cometicum, Amsterdam 1668, 1666, I 765."," Notes: From Fletcher, AK und…, p. 159",,,,,,,,,,,,,,
"Kircher, Athanasius"," Schott, Gaspar", Letter to Schott,20 December 1664,Printed copy,,," Published in S. Lubienietzki,  Theatrum cometicum, Amsterdam 1668, 1666, I 764.",,,,,,,,,,,,,,,
"Kircher, Athanasius"," Schroeck, Lukas the Elder", Letter to Schroeck, 1 June 1668,Printed copy,,," Published in Langenmantel, Hieronymo Ambrosio (ed ). Fasciculus Epistolarum Adm. R. P. Athanasii Kircheri Soc. Jesu, Augsburg 1684, pp. 4-6."," Notes: From Fletcher, AK und…, p. 159",,,,,,,,,,,,,,
"Kircher, Athanasius"," Schroeck, Lukas the Elder", Letter to Schroeck the Elder, 22 July 1662,Printed copy,,," Published in Langenmantel, Hieronymo Ambrosio (ed ). Fasciculus Epistolarum Adm. R. P. Athanasii Kircheri Soc. Jesu, Augsburg 1684, pp. 1-3.",,Latin,,,,,,,,,,,,,
"Kircher, Athanasius"," Schroeck, Lukas the Younger", Letter to Schroeck the Younger, 8 November 1670,Printed copy,,," Published in Langenmantel, Hieronymo Ambrosio (ed ). Fasciculus Epistolarum Adm. R. P. Athanasii Kircheri Soc. Jesu, Augsburg 1684, pp. 7-8."," Notes: 10 letters. From Fletcher, AK und…, p. 159.",Latin,,,,,,,,,,,,,
"Kircher, Athanasius"," Schroeck, Lukas the Younger", Letter to Schroeck the Elder, 20 November 1670,Printed copy,,," Published in Langenmantel, Hieronymo Ambrosio (ed ). Fasciculus Epistolarum Adm. R. P. Athanasii Kircheri Soc. Jesu, Augsburg 1684, pp. 9-10.",,Latin,,,,,,,,,,,,,
"Kircher, Athanasius"," Schroeck, Lukas the Younger", Letter to Schroeck the Younger, 22 November 1670,Printed copy,,," Published in Langenmantel, Hieronymo Ambrosio (ed ). Fasciculus Epistolarum Adm. R. P. Athanasii Kircheri Soc. Jesu, Augsburg 1684, pp. 11-12..",,Latin,,,,,,,,,,,,,
"Kircher, Athanasius"," Schroeck, Lukas the Younger", Letter to Schroeck the Younger, 20 November 1670,Printed copy,,," Published in Langenmantel, Hieronymo Ambrosio (ed ). Fasciculus Epistolarum Adm. R. P. Athanasii Kircheri Soc. Jesu, Augsburg 1684, pp. 12-14..",,Latin,,,,,,,,,,,,,
"Kircher, Athanasius"," Schroeck, Lukas the Younger", Letter to Schroeck the Younger, 30 November 1670,Printed copy,,," Published in Langenmantel, Hieronymo Ambrosio (ed ). Fasciculus Epistolarum Adm. R. P. Athanasii Kircheri Soc. Jesu, Augsburg 1684, pp. 14-15.",,Italian,,,,,,,,,,,,,
"Kircher, Athanasius"," Schroeck, Lukas the Younger", Letter to Schroeck the Younger, 10 Juni 1671,Printed copy,,," Published in Langenmantel, Hieronymo Ambrosio (ed ). Fasciculus Epistolarum Adm. R. P. Athanasii Kircheri Soc. Jesu, Augsburg 1684, pp. 16-17.",,Latin,,,,,,,,,,,,,
"Kircher, Athanasius"," Schroeck, Lukas the Younger", Letter to Schroeck the Younger, 11 July 1671,Printed copy,,," Published in Langenmantel, Hieronymo Ambrosio (ed ). Fasciculus Epistolarum Adm. R. P. Athanasii Kircheri Soc. Jesu, Augsburg 1684, pp. 18-19.",,Latin,,,,,,,,,,,,,
"Kircher, Athanasius"," Schroeck, Lukas the Younger", Letter to Schroeck the Younger, 24 July 1671,Printed copy,,," Published in Langenmantel, Hieronymo Ambrosio (ed ). Fasciculus Epistolarum Adm. R. P. Athanasii Kircheri Soc. Jesu, Augsburg 1684, pp. 16-21.",,Latin,,,,,,,,,,,,,
"Kircher, Athanasius"," Schroeck, Lukas the Younger", Letter to Schroeck the Younger, 4 October 1674,Printed copy,,," Published in Langenmantel, Hieronymo Ambrosio (ed ). Fasciculus Epistolarum Adm. R. P. Athanasii Kircheri Soc. Jesu, Augsburg 1684, pp. 21-23.",,Latin,,,,,,,,,,,,,
"Kircher, Athanasius"," Schroeck, Lukas the Younger", Letter to Schroeck the Younger, 8 April 1673,Printed copy,,," Published in Langenmantel, Hieronymo Ambrosio (ed ). Fasciculus Epistolarum Adm. R. P. Athanasii Kircheri Soc. Jesu, Augsburg 1684, pp. 24-26.",,Italian,,,,,,,,,,,,,
"Kircher, Athanasius"," Segni, Alessandro", Letter to Segni, 20 January 1677,Letter, London, British Library,"BL Add. Ms. 22, 804 f. 2r", Notes: Italian. BL Add 22 804: numbered by letter rather than folio. Title: Lettere XVII Italiane scritte ad Alessandro Segni ed una di Elio Loreti al sudetto. 4to. 1677 & 1678 on paper.,Italian,,,,,,,,,,,,,
"Kircher, Athanasius"," Segni, Alessandro", Letter to Segni, 30 January 1677,Letter, London, British Library,"BL Add. Ms. 22, 804 f. 3r", Notes: Italian,Italian,,,,,,,,,,,,,
"Kircher, Athanasius"," Segni, Alessandro", Letter to Segni, 6 February 1677,Letter, London, British Library,"BL Add. Ms. 22, 804 f. 4r", Notes: Italian,Italian,,,,,,,,,,,,,
"Kircher, Athanasius"," Segni, Alessandro", Letter to Segni, 13 February 1677,Letter, London, British Library,"BL Add. Ms. 22, 804 f. 5r", Notes: Italian,Italian,,,,,,,,,,,,,
"Kircher, Athanasius"," Segni, Alessandro", Letter to Segni, 28 February 1677,Letter, London, British Library,"BL Add. Ms. 22, 804 f. 6r", Notes: Italian,Italian,,,,,,,,,,,,,
"Kircher, Athanasius"," Segni, Alessandro", Letter to Segni, 27 March 1677,Letter, London, British Library,"BL Add. Ms. 22, 804 f. 7r", Notes: Italian,Italian,,,,,,,,,,,,,
"Kircher, Athanasius"," Segni, Alessandro", Letter to Segni, 1 May 1677,Letter, London, British Library,"BL Add. Ms. 22, 804 f. 9r", Notes: Italian,Italian,,,,,,,,,,,,,
"Kircher, Athanasius"," Segni, Alessandro", Letter to Segni, 20 June 1677,Letter, London, British Library,"BL Add. Ms. 22, 804 f 10r", Notes: Italian,Italian,,,,,,,,,,,,,
"Kircher, Athanasius"," Segni, Alessandro", Letter to Segni, 25 June 1677,Letter, London, British Library,"BL Add. Ms. 22, 804 f. 11r", Notes: Italian,Italian,,,,,,,,,,,,,
"Kircher, Athanasius"," Segni, Alessandro", Letter to Segni, 17 July 1677,Letter, London, British Library,"BL Add. Ms. 22, 804 f. 12r", Notes: Italian,Italian,,,,,,,,,,,,,
"Kircher, Athanasius"," Segni, Alessandro", Letter to Segni, 21 August 1677,Letter, London, British Library,"BL Add. Ms. 22, 804 f. 13r", Notes: Italian,Italian,,,,,,,,,,,,,
"Kircher, Athanasius"," Segni, Alessandro", Letter to Segni, 14 September 1677,Letter, London, British Library,"BL Add. Ms. 22, 804 f. 14r"," Notes: Italian, poor hand. ",Italian,,,,,,,,,,,,,
"Kircher, Athanasius"," Segni, Alessandro", Letter to Segni, 27 March 1678,Letter, London, British Library,"BL Add. Ms. 22, 804 f. 16r", Notes: Italian,Italian,,,,,,,,,,,,,
"Kircher, Athanasius"," Segni, Alessandro", Letter to Segni, undated,Letter, London, British Library,"BL Add. Ms. 22, 804 f. 17r", Notes: Italian,Italian,,,,,,,,,,,,,
"Kircher, Athanasius"," Segni, Alessandro", Letter to Segni, undated (late December 1677?),Letter, London, British Library,"BL Add. Ms. 22, 804 f. 15r"," Notes: Italian, poor hand. ",Italian,,,,,,,,,,,,,
"Kircher, Athanasius"," Severino, Marco Aurelio", Letter to Severino, 17 November 1649,Letter, Rome, Biblioteca Lancisiana,13 (LXXIV-1-13) f. 339," Notes: Autograph,  Latin and Greek. From Kristeller. See also Pietro de Angelis,  Giovanni Maria Lancisi. La Biblioteca Lancisiana,  L'Accademia Lancisiana, Rome 1965, p. 151","Latin,Greek",,,,,,,,,,,,,
"Kircher, Athanasius"," Severino, Marco Aurelio", Letter to Severino, 24 November 1652,Letter, Rome, Biblioteca Lancisiana,11 (LXXIV-1-11) f. 47r," Notes: Autograph,  Italian. From Kristeller. See also Pietro de Angelis, Giovanni Maria Lancisi. La Biblioteca Lancisiana,  L'Accademia Lancisiana, Rome 1965, p. 15. Consulted 28 June 1999.",Italian,,,,,,,,,,,,,
"Kircher, Athanasius"," Severino, Marco Aurelio", Letter to Severino, 6 June 1654,Letter, Rome, Biblioteca Lancisiana,11 (LXXIV-1-11) f. 48r," Notes: Autograph,  Italian. From Kristeller. See also Pietro de Angelis, Giovanni Maria Lancisi. La Biblioteca Lancisiana,  L'Accademia Lancisiana, Rome 1965, p. 15. Consulted 28 June 1999.",Italian,,,,,,,,,,,,,
"Reniger, Simon","Kircher, Athanasius", Letter to Kircher, 15 June 1654,Printed copy,,,"Published in: Athanasius Kircher, Oedipus Aegyptiacus, 3 Tom. (in 4 vols.),  Rome: Ex Typographia Vitalis Mascardi,  1652-1654,  Tomus III (1654), p. 304-305.","Notes: Published in: Athanasius Kircher, Oedipus Aegyptiacus, 3 Tom. (in 4 vols.),  Rome: Ex Typographia Vitalis Mascardi,  1652-1654,  Tomus III (1654), p. 304-305.",,,,,,,,,,,,,,
"Kircher, Athanasius"," Spada, Bernardino", Letter to Spada, n.d.,Printed copy,,,"Published in: Athanasius Kircher, Oedipus Aegyptiacus, 3 Tom. (in 4 vols.),  Rome: Ex Typographia Vitalis Mascardi,  1652-1654,  Tomus III (1654), p. 453."," Notes: Dedicatory letter for Syntagma XV. De Sphyngibus Niloticis. Published in: Athanasius Kircher, Oedipus Aegyptiacus, 3 Tom. (in 4 vols.),  Rome: Ex Typographia Vitalis Mascardi,  1652-1654,  Tomus III (1654), p. 453.",,,,,,,,,,,,,,
"Kircher, Athanasius"," Spizel, Gottlieb", Letter to Spizel, 11 July 1671,, Augsburg, Staats- und Stadtbibliothek,2o Cod. Aug. 408 fol. 171-172," Notes: Cit. Fletcher, AK und…, p. 155",,,,,,,,,,,,,,
"Kircher, Athanasius"," Spizel, Gottlieb", Letter to Spizel,n.d.,Printed copy,,," Published in Langenmantel, Hieronymo Ambrosio (ed ). Fasciculus Epistolarum Adm. R. P. Athanasii Kircheri Soc. Jesu, Augsburg 1684, pp. 6.7.",,,,,,,,,,,, Notes: Langenmantel prints this letter again at pp. 91-92, giving as the recipient Georg Hieronymus Welsch and the date 17 February 1660. Cit. Fletcher, AK und ..., p. 159
"Kircher, Athanasius"," Suáres, Joseph Marie", Letter to Suáres, 6 December 1673,Letter, Rome, Biblioteca Apostolica Vaticana,BAV Vat. Lat. 9064 f. 87r," Notes: Autograph,  Latin. Consulted 22.6.1999",Latin,,,,,,,,,,,,,
"Kircher, Athanasius"," Suáres, Joseph Marie", Letter to Suáres, undated,Letter, Rome, Biblioteca Apostolica Vaticana,BAV Vat. Lat. 9064 f. 88r-92r.," Notes: Last lines and signature of letter autograph. Latin, Greek, Turkish,  Hebrew. Consulted 22.6.1999","Latin,Greek,Turkish,Hebrew",,,,,,,,,,,,,
"Kircher, Athanasius"," Suáres, Joseph Marie", Letter to Suáres,1672,Letter, Rome, Biblioteca Apostolica Vaticana,BAV Vat. Lat. 9064 f. 84r-85v," Notes: Autograph,  Latin. Consulted 22.6.1999",Latin,,,,,,,,,,,,,
"Kircher, Athanasius"," Suáres, Joseph Marie", Letter to Suáres, n.d.,Printed copy,,,"Published in: Athanasius Kircher, Oedipus Aegyptiacus, 3 Tom. (in 4 vols.),  Rome: Ex Typographia Vitalis Mascardi,  1652-1654,  Tomus III (1654), p. 338"," Notes: Latin. Dedicatory letter for Syntagma IX. Obeliscus Alexandrinus. Published in: Athanasius Kircher, Oedipus Aegyptiacus, 3 Tom. (in 4 vols.),  Rome: Ex Typographia Vitalis Mascardi,  1652-1654,  Tomus III (1654), p. 338",Latin,,,,,,,,,,,,,
"Buratini, Tito Livio ","Kircher, Athanasius", Letter to Kircher, 15 September 1652,Printed copy,,,"Published in: Athanasius Kircher, Oedipus Aegyptiacus, 3 Tom. (in 4 vols.),  Rome: Ex Typographia Vitalis Mascardi,  1652-1654,  Tomus II Pars Altera (1653), p. 303.","Notes: Athanasius Kircher, Oedipus Aegyptiacus, 3 Tom. (in 4 vols.),  Rome: Ex Typographia Vitalis Mascardi,  1652-1654,  Tomus II Pars Altera (1653), p. 303.",,,,,,,,,,,,,,
"Buratini, Tito Livio ","Kircher, Athanasius", Letter to Kircher, n.d.,Printed copy,,,"Published in: Athanasius Kircher, Oedipus Aegyptiacus, 3 Tom. (in 4 vols.),  Rome: Ex Typographia Vitalis Mascardi,  1652-1654,  Tomus III (1654), p.399-401."," Notes: Italian. Athanasius Kircher, Oedipus Aegyptiacus, 3 Tom. (in 4 vols.),  Rome: Ex Typographia Vitalis Mascardi,  1652-1654,  Tomus III (1654), p.399-401.",Italian,,,,,,,,,,,,,
"Kircher, Athanasius",, Letter to to be checked,1640,, Washington D.C., Smithsonian Institution," Dibner Library,  ms. 783 A."," Notes: Latin,  from Kristeller,  Iter Italicum. See Manuscripts of the Dibner collection in the Dibner Library of the History of Science and Technology of the Smithsonian Institution Libraries,  Washington D.C.1985, p. 5.",Latin,,,,,, no. 60,,,,,,,
"Kircher, Athanasius","Frederik III, Danish King",Letter to Frederik III,14 January 1654,Letter, Copenhagen, Rigsarkivet,"Tyske Kancelli, Udenrigske Afdeling, Breve fra udenlandske universiteter og lærde mænd 1530-1770, parcel 3-057, F-L [i.e. German Chancery, Foreign Department, Letters from foreign universities and learned men 1530-1770, parcel 3-057, letters from persons alphabetized from F to L]."," Notes: Cited in Kristeller  Iter Italicum. Many of the letters published in Andreas Schumacher  Gelehrter Maenner Briefe an die Koenige von Daenemark  vom Jahre 1522 bis 1663, 3 parts, Copenhagen 1758-59.",,,,,,,,,,,,,,
"Kircher, Athanasius","Frederik III, Danish King",Letter to Frederik III,18 March 1655,Letter, Copenhagen, Rigsarkivet,"Tyske Kancelli, Udenrigske Afdeling, Breve fra udenlandske universiteter og lærde mænd 1530-1770, parcel 3-057, F-L [i.e. German Chancery, Foreign Department, Letters from foreign universities and learned men 1530-1770, parcel 3-057, letters from persons alphabetized from F to L].","Notes: Vejledende Arkivregistraturer XI, ""Tyske Kancelli II: Geheimekonseilet 1670-1770, Danske Kancellis udenrigske afdeling til 1676 (1698), Tyske Kancellis udenrigske afdeling til 1770,"" ed. Arthur G. Hassø & Erik Kroman, intro. Carl S. Christiansen [Copenhagen: Munksgaards Forlag, 1962], p. 46",,,,,,,,,,,,,,
"Kircher, Athanasius","Christian V, Danish King",Letter to Christian V,6 June 1675,Letter, Copenhagen, Rigsarkivet,"Tyske Kancelli, Udenrigske Afdeling, Breve fra udenlandske universiteter og lærde mænd 1530-1770, parcel 3-057, F-L [i.e. German Chancery, Foreign Department, Letters from foreign universities and learned men 1530-1770, parcel 3-057, letters from persons alphabetized from F to L].","Notes: Vejledende Arkivregistraturer XI, ""Tyske Kancelli II: Geheimekonseilet 1670-1770, Danske Kancellis udenrigske afdeling til 1676 (1698), Tyske Kancellis udenrigske afdeling til 1770,"" ed. Arthur G. Hassø & Erik Kroman, intro. Carl S. Christiansen [Copenhagen: Munksgaards Forlag, 1962], p. 46",,,,,,,,,,,,,,
"Kircher, Athanasius"," Maffei, Rafaello", Letter to Maffei,28 April 1662,Letter, Siena, Biblioteca Comunale degli Intronati,"BCI, (K XI 53) Autografi Porri 5.86", Notes: Cited in Kristeller Iter italicum. Letter is written from Volterra.,,,,,,,,,,,,,,
"Kircher, Athanasius",unknown, Letter to unknown, 19 June 1644,, Forli, Biblioteca Comunale, Autografi Piancastelli 1214, Notes: 2 letters  cited in Kristeller Iter italicum,,,,,,,,,,,,,,
to be checked, Athanasius Kircher, Letter to to be checked, to be checked,, Siena, Biblioteca Comunale,K XI 53, Notes: Includes letters from Kircher. Cited in Kristeller Iter italicum,,,,,,,,,,,,,,
to be checked,, Letter to to be checked, to be checked,, Paris, Bibliothèque Nationale,BN NAF 20952 f. 167, Notes: Cited in Kristeller Iter italicum,,,,,,,,,,,,,,
"Kircher, Athanasius","Schott, Gaspar", Letter to Schott, 9 April 1660,Scribal copy, Hamburg, Staats- und Universitätsbibliothek," Supellex Epistolica, Sup. ep. 13,233", Notes: 3 letters. From Kristeller Iter italicum,,,,,,,,,,,,,,
"Kircher, Athanasius",Johann Georg II von Sachsen, Letter to Johann Georg II,15 June 1666,Letter,Dresden ,Sächsisches Staatsarchiv . Hauptstaatsarchiv Dresden,"10024 Geheimer Rat (Geheimes Archiv), Loc. 9992/01",,,,,,,,,,,,,,,
"Kircher, Athanasius",Johann Georg I von Sachsen,Letter to Johann Georg I,19 December 1653,Letter,Dresden ,Sächsisches Staatsarchiv . Hauptstaatsarchiv Dresden,"10024 Geheimer Rat (Geheimes Archiv), Loc. 7208/45",,,,,,,,,,,,,,,
"Kircher, Athanasius","Tylkowski, Albert", Letter to Tylkowski, 23 November 1672,Printed copy,,," Published in A Tylkowski, Philosophia curiosa seu universa Aristotelis philosophia, Prague 1680. Preface"," Notes: Cit. Fletcher, AK und…, p. 160.",,,,,,,,,,,,,,
"Kircher, Athanasius",unknown, Letter to unknown, 9 May 1666,Letter, Rome, Biblioteca Apostolica Vaticana,BAV Vat. Lat. 9064 f. 83r," Notes: Autograph,  Italian. Consulted 22.6.1999",Italian,,,,,,,,,,,,,
"Kircher, Athanasius",unknown, Letter to unknown, 30 May 1672,, Hamburg, Staats- und Universitätsbibliothek - Carl von Ossietzky,to be checked, Notes: Cit. Fletcher, AK und ..., p. 156.,,,,,,,,,,,,
"Kircher, Athanasius",unknown, Letter to unknown, 17 September 1673,, Edinburgh, University Library,La II 653/42," Notes: Cit. Fletcher, AK und…, p. 155.  (another letter from 1678 to corrector of his works in Jansson press? Fletcher, A.K. and the Distribution of His Books, p. 117)",,,,,,,,,,,,,,
"Kircher, Athanasius",unknown, Letter to unknown, 15 June 1675,Letter, Göttingen, Niedersächsische Staats- und Universitätsbibliothek,Cod. Philos. 138 m. II 31," Notes: Cit. Fletcher, AK und…, p. 156.",,,,,,,,,,,,,,
"Kircher, Athanasius",unknown, Letter to unknown, 31 December 1678,, Nuremberg, Germanisches Nationalmuseum,"Kircher,  A. 1678"," Notes: Cit. Fletcher, Ak und…, p. 155. It is in Kalliope.",,,,,,,,,,,,,,
"Kircher, Athanasius",unknown, Letter to unknown, undated,Letter, Paris, Bibliothèque Nationale,BN NAL 1520 f. 47r.," Notes: Autograph, Latin damaged",Latin,,,,,,,,,,,,,
"Kircher, Athanasius"," Vegelin van Claesbergen, Philip Ernst", Letter to Vegelin van Claesbergen, September 1671,, Leeuwarden, Rijksarchief in Friesland,"Archives of ""Familie Vegelin van Claerbergen"" no. 67"," Notes: Cit. Fletcher, AK und…, p. 155",,,,,,,,,,,,,,
"Viviani, Vicenzo","Kircher, Athanasius", Letter to Kircher,n.d.,, Florence, Biblioteca Nazionale Centrale, BNCF Ms. Gal. 157f.118, Notes: Italian,,,,,,,,,,,,,,
"Kircher, Athanasius","Viviani, Vicenzo", Letter to Viviani, 16 April 1661,, Florence, Biblioteca Nazionale Centrale,BNCF Ms. Gal. 161 f. 312,,,,,,,,,,,,,,,
"Kircher, Athanasius",Voit von Salzburg Melchior Otto, Letter to Voit von Salzburg, 2 May 1646,, Bamberg, Staatsbibliothek,Mss. misc. 70/20d," Notes: Cit. Fletcher, AK und…, p. 155",,,,,,,,,,,,,,
"Kircher, Athanasius"," Welsch, Hieronymus Letter to Welsch",, 17 February 1660,Printed copy,,," Published in Langenmantel, Hieronymo Ambrosio (ed ). Fasciculus Epistolarum Adm. R. P. Athanasii Kircheri Soc. Jesu, Augsburg 1684, pp. 91-92",,Latin,,,,,,,,,,,,,
"Kircher, Athanasius"," Welsch, Hieronymus Letter to Welsch",, 7 February 1672,Printed copy,,," Published in Langenmantel, Hieronymo Ambrosio (ed ). Fasciculus Epistolarum Adm. R. P. Athanasii Kircheri Soc. Jesu, Augsburg 1684, pp. 92-100",,Latin,,,,,,,,,,,,,
