Author,Recipient,Description,Date,Type of document, Place of Repository,Repository,Call Number,Notes, Language,,,,,,,,,,,,,
"Kircher, Athanasius","Anckel,  Johann Georg", Letter to Anckel, 12 July 1664,Letter,Wolfenbüttel, Herzog August Bibliothek - Bibliotheksarchiv,HAB BA n. 396," Notes: Cited in Fletcher, AK und…, p. 152.",,,,,,,,,,,,,,
"Kircher, Athanasius","Anckel,  Johann Georg", Letter to Anckel, 31 August 1664,Letter,Wolfenbüttel, Herzog August Bibliothek - Bibliotheksarchiv,HAB BA n. 398," Notes: Cited in Fletcher, AK und…, p. 152.",,,,,,,,,,,,,,
"Kircher, Athanasius","Anckel,  Johann Georg", Letter to Anckel, 31 October 1664,Letter,Wolfenbüttel, Herzog August Bibliothek - Bibliotheksarchiv,HAB BA n. 399," Notes: Cited in Fletcher, AK und…, p. 152.",,,,,,,,,,,,,,
"Kircher, Athanasius","Anckel,  Johann Georg", Letter to Anckel, 7 February 1665,Letter,Wolfenbüttel, Herzog August Bibliothek - Bibliotheksarchiv,HAB BA n. 401," Notes: Cited in Fletcher, AK und…, p. 152.",,,,,,,,,,,,,,
"Kircher, Athanasius","Anckel,  Johann Georg", Letter to Anckel, 14 February 1665,Letter,Wolfenbüttel, Herzog August Bibliothek - Bibliotheksarchiv,HAB BA n. 402," Notes: Cited in Fletcher, AK und…, p. 152.",,,,,,,,,,,,,,
"Kircher, Athanasius","Anckel,  Johann Georg", Letter to Anckel, 8 May 1665,Letter,Wolfenbüttel, Herzog August Bibliothek - Bibliotheksarchiv,HAB BA n. 405," Notes: Cited in Fletcher, AK und…, p. 152.",,,,,,,,,,,,,,
"Kircher, Athanasius","Anckel,  Johann Georg", Letter to Anckel, 1 August 1665,Letter,Wolfenbüttel, Herzog August Bibliothek - Bibliotheksarchiv,HAB BA n. 407," Notes: Cited in Fletcher, AK und…, p. 152.",,,,,,,,,,,,,,
"Kircher, Athanasius","Anckel,  Johann Georg", Letter to Anckel, 22 August 1665,Letter,Wolfenbüttel, Herzog August Bibliothek - Bibliotheksarchiv,HAB BA n. 409," Notes: Cited in Fletcher, AK und…, p. 152.",,,,,,,,,,,,,,
"Kircher, Athanasius","Anckel,  Johann Georg", Letter to Anckel, 28 August 1665,Letter,Wolfenbüttel, Herzog August Bibliothek - Bibliotheksarchiv, HAB BA n. 410," Notes: Cited in Fletcher, AK und…, p. 152.",,,,,,,,,,,,,,
"Kircher, Athanasius","Anckel,  Johann Georg", Letter to Anckel, 6 September 1665,Letter,Wolfenbüttel, Herzog August Bibliothek - Bibliotheksarchiv,HAB BA n. 411," Notes: Cited in Fletcher, AK und…, p. 152.",,,,,,,,,,,,,,
"Kircher, Athanasius","Anckel,  Johann Georg", Letter to Anckel, 17 October 1665,Letter,Wolfenbüttel, Herzog August Bibliothek - Bibliotheksarchiv,HAB BA n. 412," Notes: Cited in Fletcher, AK und…, p. 152.",,,,,,,,,,,,,,
"Kircher, Athanasius","Anckel,  Johann Georg", Letter to Anckel, 31 October 1665,Letter,Wolfenbüttel, Herzog August Bibliothek - Bibliotheksarchiv,HAB BA n. 413," Notes: Cited in Fletcher, AK und…, p. 152.",,,,,,,,,,,,,,
"Kircher, Athanasius","Anckel,  Johann Georg", Letter to Anckel, 7 November 1665,Letter,Wolfenbüttel, Herzog August Bibliothek - Bibliotheksarchiv,HAB BA n. 414," Notes: Cited in Fletcher, AK und…, p. 152.",,,,,,,,,,,,,,
"Kircher, Athanasius","Anckel,  Johann Georg", Letter to Anckel, 26 December 1665,Letter,Wolfenbüttel, Herzog August Bibliothek - Bibliotheksarchiv,HAB BA n. 415," Notes: Cited in Fletcher, AK und…, p. 152.",,,,,,,,,,,,,,
"Kircher, Athanasius","Anckel,  Johann Georg", Letter to Anckel, 7 January 1666,Letter,Wolfenbüttel, Herzog August Bibliothek - Bibliotheksarchiv,HAB BA n. 416," Notes: Cited in Fletcher, AK und…, p. 152.",,,,,,,,,,,,,,
